Cement,Clinker,Slag,FlyAsh,Limestones,Gypsum,Water,Chemical Admixture,coarseagg,fineagg,Age,Strength (MPa),CO2 (kg),Cost (USD)
360,342,0,0,0,18,155,3.96,1019,842,7,25.77,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,27.41,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,28.37,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,28.4,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,28.44,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,28.56,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,28.64,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,29.06,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,29.27,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,29.38,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,29.46,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,29.49,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,29.59,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,29.7,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,29.72,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,29.77,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,29.86,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,29.95,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,30.13,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,30.15,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,30.19,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,30.45,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,30.67,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,30.73,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,30.74,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,30.75,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,30.76,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,30.83,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,31.16,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,31.24,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,31.33,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,31.46,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,31.49,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,31.57,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,31.58,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,31.75,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,31.83,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,31.86,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,31.94,368.1164,84.5235
360,342,0,0,0,18,155,3.96,1019,842,7,31.95,368.1164,84.5235
